Sl. No.,Category,State/UT/City,National Highways - Cases,National Highways - Injured,National Highways - Died,State Highways - Cases,State Highways - Injured,State Highways - Died,Expressways - Cases,Expressways - Injured,Expressways - Died,Other Roads - Cases,Other Roads - Injured,Other Roads - Died,Total - Cases,Total - Injured,Total - Died
60,City,KANNUR,233,327,28,80,113,6,0,0,0,311,356,33,624,796,67
61,City,KANPUR,451,208,412,213,94,193,0,0,0,387,135,284,1051,437,889
62,City,KOCHI,670,647,66,365,322,41,0,0,0,1526,1752,61,2561,2721,168
63,City,KOLKATA,0,0,0,219,216,5,0,0,0,4762,4353,416,4981,4569,421
64,City,KOLLAM,730,748,113,0,0,0,0,0,0,831,853,91,1561,1601,204
65,City,KOTA,173,135,40,42,47,8,0,0,0,530,531,60,745,713,108
66,City,KOZHIKODE,732,775,93,58,67,7,0,0,0,697,725,59,1487,1567,159
67,City,LUCKNOW,477,318,302,194,92,97,4,2,2,602,404,223,1277,816,624
68,City,LUDHIANA,166,70,110,89,60,58,0,0,0,311,194,180,566,324,348
69,City,MADURAI,176,145,54,537,542,115,0,0,0,324,334,46,1037,1021,215
70,City,MALAPPURAM,147,150,16,225,235,17,0,0,0,336,407,37,708,792,70
71,City,MEERUT,344,397,145,110,108,52,0,0,0,510,476,223,964,981,420
72,City,MUMBAI,0,0,0,66,34,37,31,1,32,2454,2254,542,2551,2289,611
73,City,NAGPUR,323,207,115,76,64,34,0,0,0,998,925,168,1397,1196,317
74,City,NASIK,63,14,70,7,0,7,0,0,0,177,33,183,247,47,260
75,City,PATNA,145,90,113,401,205,136,0,0,0,119,95,12,665,390,261
76,City,PUNE,141,107,65,81,59,31,36,12,24,1295,872,423,1553,1050,543
77,City,RAIPUR,318,208,58,189,127,42,0,0,0,838,404,96,1345,739,196
78,City,RAJKOT,123,98,42,128,117,24,0,0,0,529,501,84,780,716,150
79,City,RANCHI,113,95,61,83,76,36,0,0,0,108,90,55,304,261,152
80,City,SRINAGAR,106,128,20,0,0,0,0,0,0,329,334,43,435,462,63
81,City,SURAT,83,56,27,22,15,7,0,0,0,798,729,222,903,800,256
82,City,THIRUVANANTHAPURAM,435,514,37,65,75,4,0,0,0,1699,2071,123,2199,2660,164
83,City,THRISSUR,160,192,16,331,334,34,0,0,0,915,1012,60,1406,1538,110
84,City,TIRUCHIRAPPALLI,308,347,83,253,266,46,0,0,0,267,260,32,828,873,161
85,City,VADODARA,255,186,94,19,12,3,5,8,2,885,778,130,1164,984,229
86,City,VARANASI,86,28,69,88,37,70,0,0,0,198,92,116,372,157,255
87,City,VASAI VIRAR,221,99,116,80,49,17,0,0,0,380,267,64,681,415,197
88,City,VIJAYAWADA,807,743,227,178,173,29,0,0,0,659,660,123,1644,1576,379
89,City,VISHAKHAPATNAM,661,478,152,69,60,23,0,0,0,907,775,198,1637,1313,373
TOTAL (CITIES),TOTAL (CITIES),TOTAL (CITIES),15700,13842,5129,7571,6551,2225,317,234,182,54912,50098,9523,78500,70725,17059
